"","GENE","CANCER_TYPE","SITE","HALLMARK"
"471","ATM","CHOL","Digestive system","genome instability and mutations"
"472","ATM","STAD","Digestive system","escaping programmed cell death"
"473","ATM","STAD","Digestive system","invasion and metastasis"
"474","ATM","STAD","Digestive system","tumour promoting inflammation"
"475","ATM","STAD","Digestive system","cell replicative immortality"
"476","ATM","STAD","Digestive system","genome instability and mutations"
"477","ATM","CCRCC","Urinary and male genital","escaping programmed cell death"
"478","ATM","CCRCC","Urinary and male genital","invasion and metastasis"
"479","ATM","CCRCC","Urinary and male genital","tumour promoting inflammation"
"480","ATM","CCRCC","Urinary and male genital","cell replicative immortality"
"481","ATM","CCRCC","Urinary and male genital","genome instability and mutations"
"482","ATM","BRCA","Breast","escaping programmed cell death"
"483","ATM","BRCA","Breast","invasion and metastasis"
"484","ATM","BRCA","Breast","tumour promoting inflammation"
"485","ATM","BRCA","Breast","cell replicative immortality"
"486","ATM","BRCA","Breast","genome instability and mutations"
"487","ATM","LUAD","Thoracic","escaping programmed cell death"
"488","ATM","LUAD","Thoracic","invasion and metastasis"
"489","ATM","LUAD","Thoracic","tumour promoting inflammation"
"490","ATM","LUAD","Thoracic","cell replicative immortality"
"491","ATM","LUAD","Thoracic","genome instability and mutations"
"492","ATM","PCM","Haematolymphoid","escaping programmed cell death"
"493","ATM","PCM","Haematolymphoid","invasion and metastasis"
"494","ATM","PCM","Haematolymphoid","tumour promoting inflammation"
"495","ATM","PCM","Haematolymphoid","cell replicative immortality"
"496","ATM","PCM","Haematolymphoid","genome instability and mutations"
"497","ATM","NSCLC","Thoracic","escaping programmed cell death"
"498","ATM","NSCLC","Thoracic","invasion and metastasis"
"499","ATM","NSCLC","Thoracic","tumour promoting inflammation"
"500","ATM","NSCLC","Thoracic","cell replicative immortality"
"501","ATM","NSCLC","Thoracic","genome instability and mutations"
"502","ATM","MEL","Skin","escaping programmed cell death"
"503","ATM","MEL","Skin","invasion and metastasis"
"504","ATM","MEL","Skin","tumour promoting inflammation"
"505","ATM","MEL","Skin","cell replicative immortality"
"506","ATM","MEL","Skin","genome instability and mutations"
"507","ATM","HCC","Digestive system","escaping programmed cell death"
"508","ATM","HCC","Digestive system","invasion and metastasis"
"509","ATM","HCC","Digestive system","tumour promoting inflammation"
"510","ATM","HCC","Digestive system","cell replicative immortality"
"511","ATM","HCC","Digestive system","genome instability and mutations"
"512","ATM","UCEC","Female genital","escaping programmed cell death"
"513","ATM","UCEC","Female genital","invasion and metastasis"
"514","ATM","UCEC","Female genital","tumour promoting inflammation"
"515","ATM","UCEC","Female genital","cell replicative immortality"
"516","ATM","UCEC","Female genital","genome instability and mutations"
"517","ATM","ESCA","Digestive system","escaping programmed cell death"
"518","ATM","ESCA","Digestive system","invasion and metastasis"
"519","ATM","ESCA","Digestive system","tumour promoting inflammation"
"520","ATM","ESCA","Digestive system","cell replicative immortality"
"521","ATM","ESCA","Digestive system","genome instability and mutations"
"522","ATP1A1","BRCA","Breast","escaping programmed cell death"
"523","ATP1A1","BRCA","Breast","invasion and metastasis"
"524","ATR","MEL","Skin","escaping programmed cell death"
"525","ATR","MEL","Skin","genome instability and mutations"
"526","ATR","MEL","Skin","change of cellular energetics"
"527","ATR","MEL","Skin","suppression of growth"
"528","ATR","RCC","Urinary and male genital","escaping programmed cell death"
"529","ATR","RCC","Urinary and male genital","genome instability and mutations"
"530","ATR","RCC","Urinary and male genital","change of cellular energetics"
"531","ATR","RCC","Urinary and male genital","suppression of growth"
"532","ATR","STAD","Digestive system","escaping programmed cell death"
"533","ATR","STAD","Digestive system","genome instability and mutations"
"534","ATR","STAD","Digestive system","change of cellular energetics"
"535","ATR","STAD","Digestive system","suppression of growth"
"536","ATRX","GBM","Central nervous system","genome instability and mutations"
"537","ATRX","OS","Soft tissue and bone","genome instability and mutations"
"538","ATRX","CLLSLL","Haematolymphoid","genome instability and mutations"
"539","ATRX","SOFT_TISSUE","Soft tissue and bone","genome instability and mutations"
"540","ATRX","NBL","Peripheral neuroblastic","genome instability and mutations"
"541","ATRX","ACC","Endocrine and neuroendocrine","genome instability and mutations"
"542","ATRX","PANET","Digestive system","genome instability and mutations"
"543","ATRX","HGGNOS","Central nervous system","genome instability and mutations"
"544","ATRX","LMS","Soft tissue and bone","genome instability and mutations"
"545","AXIN1","HCC","Digestive system","suppression of growth"
"546","AXIN1","HCC","Digestive system","escaping programmed cell death"
"547","AXIN1","GBM","Central nervous system","suppression of growth"
"548","AXIN1","GBM","Central nervous system","escaping programmed cell death"
"549","AXIN1","ESCA","Digestive system","suppression of growth"
"550","AXIN1","ESCA","Digestive system","escaping programmed cell death"
"551","AXIN1","HNSC","Head and neck","suppression of growth"
"552","AXIN1","HNSC","Head and neck","escaping programmed cell death"
"553","AXIN2","PANCREAS","Digestive system","suppression of growth"
"554","AXIN2","PRAD","Urinary and male genital","suppression of growth"
"555","B2M","NSCLC","Thoracic","escaping immune response to cancer"
"556","B2M","NHL","Haematolymphoid","escaping immune response to cancer"
"557","B2M","DLBCLNOS","Soft tissue and bone","escaping immune response to cancer"
"558","B2M","MLYM","Haematolymphoid","escaping immune response to cancer"
"559","B2M","CESC","Female genital","escaping immune response to cancer"
"560","B2M","HNSC","Head and neck","escaping immune response to cancer"
"561","B2M","MEL","Skin","escaping immune response to cancer"
"562","BAP1","CCRCC","Urinary and male genital","invasion and metastasis"
"563","BAP1","CCRCC","Urinary and male genital","escaping programmed cell death"
"564","BAP1","CCRCC","Urinary and male genital","genome instability and mutations"
"565","BAP1","CCRCC","Urinary and male genital","proliferative signalling"
"566","BAP1","CCRCC","Urinary and male genital","change of cellular energetics"
"567","BAP1","PRCC","Urinary and male genital","invasion and metastasis"
"568","BAP1","PRCC","Urinary and male genital","escaping programmed cell death"
"569","BAP1","PRCC","Urinary and male genital","genome instability and mutations"
"570","BAP1","PRCC","Urinary and male genital","proliferative signalling"
"571","BAP1","PRCC","Urinary and male genital","change of cellular energetics"
"572","BAP1","CESC","Female genital","invasion and metastasis"
"573","BAP1","CESC","Female genital","escaping programmed cell death"
"574","BAP1","CESC","Female genital","genome instability and mutations"
"575","BAP1","CESC","Female genital","proliferative signalling"
"576","BAP1","CESC","Female genital","change of cellular energetics"
"577","BAP1","PLMESO","Soft tissue and bone","invasion and metastasis"
"578","BAP1","PLMESO","Soft tissue and bone","escaping programmed cell death"
"579","BAP1","PLMESO","Soft tissue and bone","genome instability and mutations"
"580","BAP1","PLMESO","Soft tissue and bone","proliferative signalling"
"581","BAP1","PLMESO","Soft tissue and bone","change of cellular energetics"
"582","BAP1","BRCA","Breast","invasion and metastasis"
"583","BAP1","BRCA","Breast","escaping programmed cell death"
"584","BAP1","BRCA","Breast","genome instability and mutations"
"585","BAP1","BRCA","Breast","proliferative signalling"
"586","BAP1","BRCA","Breast","change of cellular energetics"
"587","BAP1","ESCA","Digestive system","invasion and metastasis"
"588","BAP1","ESCA","Digestive system","escaping programmed cell death"
"589","BAP1","ESCA","Digestive system","genome instability and mutations"
"590","BAP1","ESCA","Digestive system","proliferative signalling"
"591","BAP1","ESCA","Digestive system","change of cellular energetics"
"592","BAP1","UM","Skin","invasion and metastasis"
"593","BAP1","UM","Skin","escaping programmed cell death"
"594","BAP1","UM","Skin","genome instability and mutations"
"595","BAP1","UM","Skin","proliferative signalling"
"596","BAP1","UM","Skin","change of cellular energetics"
"597","BAP1","CHOL","Digestive system","invasion and metastasis"
"598","BAP1","CHOL","Digestive system","escaping programmed cell death"
"599","BAP1","CHOL","Digestive system","genome instability and mutations"
"600","BAP1","CHOL","Digestive system","proliferative signalling"
"601","BAP1","CHOL","Digestive system","change of cellular energetics"
"602","BAP1","HNSC","Head and neck","invasion and metastasis"
"603","BAP1","HNSC","Head and neck","escaping programmed cell death"
"604","BAP1","HNSC","Head and neck","genome instability and mutations"
"605","BAP1","HNSC","Head and neck","proliferative signalling"
"606","BAP1","HNSC","Head and neck","change of cellular energetics"
"607","BAP1","STAD","Digestive system","invasion and metastasis"
"608","BAP1","STAD","Digestive system","escaping programmed cell death"
"609","BAP1","STAD","Digestive system","genome instability and mutations"
"610","BAP1","STAD","Digestive system","proliferative signalling"
"611","BAP1","STAD","Digestive system","change of cellular energetics"
"612","BAP1","HCC","Digestive system","invasion and metastasis"
"613","BAP1","HCC","Digestive system","escaping programmed cell death"
"614","BAP1","HCC","Digestive system","genome instability and mutations"
"615","BAP1","HCC","Digestive system","proliferative signalling"
"616","BAP1","HCC","Digestive system","change of cellular energetics"
"617","BAP1","PANCREAS","Digestive system","invasion and metastasis"
"618","BAP1","PANCREAS","Digestive system","escaping programmed cell death"
"619","BAP1","PANCREAS","Digestive system","genome instability and mutations"
"620","BAP1","PANCREAS","Digestive system","proliferative signalling"
"621","BAP1","PANCREAS","Digestive system","change of cellular energetics"
"622","BAP1","MEL","Skin","invasion and metastasis"
"623","BAP1","MEL","Skin","escaping programmed cell death"
"624","BAP1","MEL","Skin","genome instability and mutations"
"625","BAP1","MEL","Skin","proliferative signalling"
"626","BAP1","MEL","Skin","change of cellular energetics"
"627","BAP1","RCC","Urinary and male genital","invasion and metastasis"
"628","BAP1","RCC","Urinary and male genital","escaping programmed cell death"
"629","BAP1","RCC","Urinary and male genital","genome instability and mutations"
"630","BAP1","RCC","Urinary and male genital","proliferative signalling"
"631","BAP1","RCC","Urinary and male genital","change of cellular energetics"
"632","BARD1","PRAD","Urinary and male genital","proliferative signalling"
"633","BARD1","PRAD","Urinary and male genital","escaping programmed cell death"
"634","BARD1","PRAD","Urinary and male genital","invasion and metastasis"
"635","BARD1","PRAD","Urinary and male genital","suppression of growth"
"636","BCL10","DLBCLNOS","Soft tissue and bone","proliferative signalling"
"637","BCL10","DLBCLNOS","Soft tissue and bone","escaping programmed cell death"
"638","BCL10","DLBCLNOS","Soft tissue and bone","genome instability and mutations"
"639","BCL10","DLBCLNOS","Soft tissue and bone","invasion and metastasis"
"640","BCL10","MLYM","Haematolymphoid","proliferative signalling"
"641","BCL10","MLYM","Haematolymphoid","escaping programmed cell death"
"642","BCL10","MLYM","Haematolymphoid","genome instability and mutations"
"643","BCL10","MLYM","Haematolymphoid","invasion and metastasis"
"644","BCL11A","NHL","Haematolymphoid","cell replicative immortality"
"645","BCL9","COADREAD","Digestive system","invasion and metastasis"
"646","BCL9","COADREAD","Digestive system","angiogenesis"
"647","BCL9","COADREAD","Digestive system","proliferative signalling"
"648","BCL9","STAD","Digestive system","invasion and metastasis"
"649","BCL9","STAD","Digestive system","angiogenesis"
"650","BCL9","STAD","Digestive system","proliferative signalling"
"651","BCL9L","COADREAD","Digestive system","invasion and metastasis"
"652","BCL9L","COADREAD","Digestive system","proliferative signalling"
"653","BCL9L","COADREAD","Digestive system","genome instability and mutations"
"654","BCORL1","HGGNOS","Central nervous system","invasion and metastasis"
"655","BCORL1","NBL","Peripheral neuroblastic","invasion and metastasis"
"656","BCORL1","COADREAD","Digestive system","invasion and metastasis"
